"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:97","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 7080

Quotient = 354

Remainder = 0","20","Rearrange the division formula and simplify.

Answer:

20","20","0","354","7080","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:98","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 525 gives quotient 26 and remainder 5. Determine the divisor.","20","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

20","20","5","26","525","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:99","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 176131, quotient = 2122, and remainder = 5.","83","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

83","83","5","2122","176131","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:100","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 10584, quotient = 286, and remainder = 2.","37","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

37","37","2","286","10584","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:101","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 123, quotient = 17, and remainder = 4.","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","4","17","123","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:102","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 11680, quotient = 315, and remainder = 25.","37","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

37","37","25","315","11680","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:103","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 169 gives quotient 11 and remainder 4. Determine the divisor.","15","Rearrange the division formula and simplify.

Answer:

15","15","4","11","169","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:104","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 529

Quotient = 132

Remainder = 1","4","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

4","4","1","132","529","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:105","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 406

Quotient = 27

Remainder = 1","15","Rearrange the division formula and simplify.

Answer:

15","15","1","27","406","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:106","CP-006","Hard","Missing Component","QL-019","ES-003","A dividend 114557 gives quotient 3695 and remainder 12. Determine the divisor.","31","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

31","31","12","3695","114557","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:107","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 430, quotient = 43, and remainder = 0.","10","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

10","10","0","43","430","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:108","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 358, quotient = 51, and remainder = 1.","7","Rearrange the division formula and simplify.

Answer:

7","7","1","51","358","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:109","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 4982

Quotient = 332

Remainder = 2","15","Rearrange the division formula and simplify.

Answer:

15","15","2","332","4982","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:110","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 226, quotient = 11, and remainder = 17.","19","Rearrange the division formula and simplify.

Answer:

19","19","17","11","226","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:111","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 2674

Quotient = 243

Remainder = 1","11","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

11","11","1","243","2674","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:112","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 13795, quotient = 336, and remainder = 19.","41","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

41","41","19","336","13795","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:113","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 345

Quotient = 28

Remainder = 9","12","Rearrange the division formula and simplify.

Answer:

12","12","9","28","345","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:114","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 13323

Quotient = 1024

Remainder = 11","13","Rearrange the division formula and simplify.

Answer:

13","13","11","1024","13323","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:115","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 27

Quotient = 2

Remainder = 3","12","Rearrange the division formula and simplify.

Answer:

12","12","3","2","27","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:116","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 173346, quotient = 3466, and remainder = 46.","50","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

50","50","46","3466","173346","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:117","CP-006","Medium","Missing Component","QL-019","ES-003","A dividend 1805 gives quotient 451 and remainder 1. Determine the divisor.","4","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

4","4","1","451","1805","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:118","CP-006","Hard","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 375880

Quotient = 4945

Remainder = 60","76","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

76","76","60","4945","375880","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:119","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 514, quotient = 46, and remainder = 8.","11","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

11","11","8","46","514","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:120","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 14841

Quotient = 478

Remainder = 23","31","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

31","31","23","478","14841","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:121","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 2508, quotient = 313, and remainder = 4.","8","Rearrange the division formula and simplify.

Answer:

8","8","4","313","2508","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:122","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 6143, quotient = 146, and remainder = 11.","42","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

42","42","11","146","6143","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:123","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 2854, quotient = 124, and remainder = 2.","23","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

23","23","2","124","2854","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:124","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 10527, quotient = 328, and remainder = 31.","32","Rearrange the division formula and simplify.

Answer:

32","32","31","328","10527","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:125","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 440, quotient = 27, and remainder = 8.","16","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

16","16","8","27","440","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:126","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 9179

Quotient = 3059

Remainder = 2","3","Rearrange the division formula and simplify.

Answer:

3","3","2","3059","9179","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:127","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 249

Quotient = 35

Remainder = 4","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","4","35","249","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:128","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 35

Quotient = 2

Remainder = 3","16","Rearrange the division formula and simplify.

Answer:

16","16","3","2","35","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:129","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 10, quotient = 5, and remainder = 0.","2","Rearrange the division formula and simplify.

Answer:

2","2","0","5","10","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:130","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 594

Quotient = 49

Remainder = 6","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","12","6","49","594","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:131","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 417, quotient = 26, and remainder = 1.","16","Rearrange the division formula and simplify.

Answer:

16","16","1","26","417","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:132","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 292936, quotient = 4307, and remainder = 60.","68","Rearrange the division formula and simplify.

Answer:

68","68","60","4307","292936","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:133","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 19327

Quotient = 402

Remainder = 31","48","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

48","48","31","402","19327","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:134","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 2361 gives quotient 63 and remainder 30. Determine the divisor.","37","Rearrange the division formula and simplify.

Answer:

37","37","30","63","2361","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:135","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 545 gives quotient 38 and remainder 13. Determine the divisor.","14","Rearrange the division formula and simplify.

Answer:

14","14","13","38","545","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:136","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 8648 gives quotient 247 and remainder 3. Determine the divisor.","35","Rearrange the division formula and simplify.

Answer:

35","35","3","247","8648","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:137","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 7185, quotient = 287, and remainder = 10.","25","Rearrange the division formula and simplify.

Answer:

25","25","10","287","7185","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:138","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 2510, quotient = 358, and remainder = 4.","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","4","358","2510","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:139","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 3705 gives quotient 115 and remainder 25. Determine the divisor.","32","Rearrange the division formula and simplify.

Answer:

32","32","25","115","3705","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:140","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 146

Quotient = 16

Remainder = 2","9","Rearrange the division formula and simplify.

Answer:

9","9","2","16","146","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:141","CP-006","Hard","Missing Component","QL-019","ES-003","A dividend 5018 gives quotient 358 and remainder 6. Determine the divisor.","14","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

14","14","6","358","5018","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:142","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 57, quotient = 28, and remainder = 1.","2","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

2","2","1","28","57","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:143","CP-006","Medium","Missing Component","QL-019","ES-003","A dividend 5756 gives quotient 479 and remainder 8. Determine the divisor.","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","12","8","479","5756","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:144","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 48

Quotient = 4

Remainder = 4","11","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

11","11","4","4","48","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:145","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 260

Quotient = 10

Remainder = 0","26","Rearrange the division formula and simplify.

Answer:

26","26","0","10","260","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:146","CP-006","Medium","Missing Component","QL-019","ES-003","A dividend 5006 gives quotient 143 and remainder 1. Determine the divisor.","35","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

35","35","1","143","5006","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:147","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 451 gives quotient 23 and remainder 14. Determine the divisor.","19","Rearrange the division formula and simplify.

Answer:

19","19","14","23","451","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:148","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 8925

Quotient = 207

Remainder = 24","43","Rearrange the division formula and simplify.

Answer:

43","43","24","207","8925","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:149","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 118834

Quotient = 1584

Remainder = 34","75","Rearrange the division formula and simplify.

Answer:

75","75","34","1584","118834","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:150","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 291988

Quotient = 3792

Remainder = 4","77","Rearrange the division formula and simplify.

Answer:

77","77","4","3792","291988","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:151","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 281213, quotient = 2869, and remainder = 51.","98","Rearrange the division formula and simplify.

Answer:

98","98","51","2869","281213","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:152","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 264 gives quotient 37 and remainder 5. Determine the divisor.","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","5","37","264","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:153","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 69, quotient = 34, and remainder = 1.","2","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

2","2","1","34","69","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:154","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 201822

Quotient = 3057

Remainder = 60","66","Rearrange the division formula and simplify.

Answer:

66","66","60","3057","201822","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:155","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 203, quotient = 14, and remainder = 7.","14","Rearrange the division formula and simplify.

Answer:

14","14","7","14","203","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:156","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 378

Quotient = 31

Remainder = 6","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","12","6","31","378","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:157","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 3745

Quotient = 110

Remainder = 5","34","Rearrange the division formula and simplify.

Answer:

34","34","5","110","3745","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:158","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 308, quotient = 15, and remainder = 8.","20","Rearrange the division formula and simplify.

Answer:

20","20","8","15","308","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:159","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 126, quotient = 42, and remainder = 0.","3","Rearrange the division formula and simplify.

Answer:

3","3","0","42","126","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:160","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 99

Quotient = 24

Remainder = 3","4","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

4","4","3","24","99","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:161","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 828 gives quotient 41 and remainder 8. Determine the divisor.","20","Rearrange the division formula and simplify.

Answer:

20","20","8","41","828","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:162","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 162772 gives quotient 3785 and remainder 17. Determine the divisor.","43","Rearrange the division formula and simplify.

Answer:

43","43","17","3785","162772","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:163","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 6762, quotient = 182, and remainder = 28.","37","Rearrange the division formula and simplify.

Answer:

37","37","28","182","6762","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:164","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 157

Quotient = 22

Remainder = 3","7","Rearrange the division formula and simplify.

Answer:

7","7","3","22","157","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:165","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 3888, quotient = 388, and remainder = 8.","10","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

10","10","8","388","3888","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:166","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 537

Quotient = 179

Remainder = 0","3","Rearrange the division formula and simplify.

Answer:

3","3","0","179","537","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:167","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 146, quotient = 7, and remainder = 6.","20","Rearrange the division formula and simplify.

Answer:

20","20","6","7","146","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:168","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 273, quotient = 18, and remainder = 3.","15","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

15","15","3","18","273","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:169","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 178 gives quotient 17 and remainder 8. Determine the divisor.","10","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

10","10","8","17","178","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:170","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 151101, quotient = 3513, and remainder = 42.","43","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

43","43","42","3513","151101","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:171","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 758, quotient = 50, and remainder = 8.","15","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

15","15","8","50","758","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:172","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 9466

Quotient = 278

Remainder = 14","34","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

34","34","14","278","9466","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:173","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 2361, quotient = 168, and remainder = 9.","14","Rearrange the division formula and simplify.

Answer:

14","14","9","168","2361","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:174","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 349, quotient = 31, and remainder = 8.","11","Rearrange the division formula and simplify.

Answer:

11","11","8","31","349","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:175","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 3125 gives quotient 86 and remainder 29. Determine the divisor.","36","Rearrange the division formula and simplify.

Answer:

36","36","29","86","3125","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:176","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 185235, quotient = 3036, and remainder = 39.","61","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

61","61","39","3036","185235","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:177","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 89

Quotient = 44

Remainder = 1","2","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

2","2","1","44","89","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:178","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 9184, quotient = 183, and remainder = 34.","50","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

50","50","34","183","9184","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:179","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 5173 gives quotient 431 and remainder 1. Determine the divisor.","12","Rearrange the division formula and simplify.

Answer:

12","12","1","431","5173","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:180","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 354 gives quotient 20 and remainder 14. Determine the divisor.","17","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

17","17","14","20","354","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:181","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 290818, quotient = 4154, and remainder = 38.","70","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

70","70","38","4154","290818","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:182","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 628 gives quotient 36 and remainder 16. Determine the divisor.","17","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

17","17","16","36","628","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:183","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 12787, quotient = 365, and remainder = 12.","35","Rearrange the division formula and simplify.

Answer:

35","35","12","365","12787","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:184","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 32

Quotient = 4

Remainder = 4","7","Rearrange the division formula and simplify.

Answer:

7","7","4","4","32","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:185","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 117906

Quotient = 1998

Remainder = 24","59","Rearrange the division formula and simplify.

Answer:

59","59","24","1998","117906","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:186","CP-006","Medium","Missing Component","QL-019","ES-003","A dividend 2743 gives quotient 457 and remainder 1. Determine the divisor.","6","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

6","6","1","457","2743","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:187","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 100764

Quotient = 1199

Remainder = 48","84","Rearrange the division formula and simplify.

Answer:

84","84","48","1199","100764","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:188","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 312, quotient = 28, and remainder = 4.","11","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

11","11","4","28","312","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:189","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 102 gives quotient 11 and remainder 3. Determine the divisor.","9","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

9","9","3","11","102","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:190","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 71685, quotient = 4779, and remainder = 0.","15","Rearrange the division formula and simplify.

Answer:

15","15","0","4779","71685","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:191","CP-006","Hard","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 106351

Quotient = 1661

Remainder = 47","64","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

64","64","47","1661","106351","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:192","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 20260 gives quotient 482 and remainder 16. Determine the divisor.","42","Rearrange the division formula and simplify.

Answer:

42","42","16","482","20260","",""
