Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-008:PCT-QL-016:PCT-002:en:97,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 20000 is divided as 25% rent, 30% food, and 45% transport. Find the amount spent on rent.",5000 - 1,5000,-5000,5000 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 20000 So the value corresponding to 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now multiply the value of 1% by 25 to find the rent. ? 25%=200?25=5000 Therefore the rent count is Rs. 5000. ? rent=5000,,
PCT-CP-009:PCT-QL-018:PCT-002:en:98,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 30% goes to marketing, 15% to salaries, and 15% to rent. Find the missing percentage for other expenses.",-40%,40% - 1,40% + 1,40%,D,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 30%+15%+15%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:99,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 40000, 35% is spent on food, 25% on rent, 10% on transport, and the remaining 30% on education. Find the amount spent on education.",-12000,12000,12000 - 1,12000 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 40000 So the value corresponding to 1% is obtained by dividing Rs. 40000 by 100. ? 1%=(40000/100)=400 Now multiply the value of 1% by the percentage for education. ? 30%=400?30=12000 Therefore the value for education is Rs. 12000. ? education=12000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:100,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"40% of the students are girls. If the number of girls is 288, find the total number of students.",720 + 1,720 - 1,-720,720,D,"Here, 40% of the students equals 288. ? 40%?288 To determine the value of 1%, divide 288 by 40. ? 1%=(288/40)=7.2 Now multiply the value of 1% by 100 to get the whole. ? 100%=7.2?100=720 Therefore the total students is 720. ? Total students=720",,
PCT-CP-002:PCT-QL-003:PCT-002:en:101,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 30% of the income equals Rs. 12000, find 65% of the same income.",-26000,26000 - 1,26000 + 1,26000,D,"Here, 30% of the income equals Rs. 12000. ? 30%?Rs. 12000 First find the value corresponding to 1% by dividing Rs. 12000 by 30. ? 1%=(12000/30)=400 Now multiply the value of 1% by 65 to get 65%. ? 65%=400?65=26000 Therefore 65% of the income is Rs. 26000. ? expenditure=26000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:102,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 240 students, 48 are girls. Find what percent of the students are girls.",-20%,20% - 1,20% + 1,20%,D,The whole students corresponds to 100%. ? 100%?240 So 1% is obtained by dividing 240 by 100. ? 1%=(240/100)=2.4 Now compare 48 with the value of 1% to get the required percentage. ? Required percent=(48/2.4)=20% Therefore 48 is 20% of the students. ? girls=20%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:103,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 40% of the salary is Rs. 2000, then Rs. 1000 is what percent of the same salary?",20% + 1,20% - 1,-20%,20%,D,"Here, 40% of the salary equals Rs. 2000. ? 40%?Rs. 2000 To determine the value of 1%, divide Rs. 2000 by 40. ? 1%=(2000/40)=50 Now compare Rs. 1000 with the value of 1% to find the required percentage. ? Required percent=(1000/50)=20% Therefore Rs. 1000 is 20% of the salary. ? Required percent=20%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:104,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 3:4. Find the percentage corresponding to the first part.,42.86% + 1,42.86% - 1,-42.86%,42.86%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=3+4=7 The first part accounts for 3 out of these 7 parts. ? Share fraction=(3/7) Convert that share into a percentage. ? Required percent=(3/7)?100=42.86% Therefore the first part corresponds to 42.86%. ? first part=42.86%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:105,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 40% of the class are girls, find the percentage of boys.",60%,-60%,60% + 1,60% - 1,A,The full quantity is always 100%. ? girls+boys=100% So subtract 40% from 100% to get the remaining percentage. ? boys=100%-40%=60% Therefore the boys percentage is 60%. ? boys=60%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:106,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,40% of the students are boys and 25% are girls. Find the difference between these percentages.,15%,-15%,15% + 1,15% - 1,A,"Both parts are already given as percentages of the same whole. ? boys=40%, girls=25% So subtract the smaller percentage from the larger percentage. ? Difference=40%-25%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:107,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1200 students is divided as 35% girls, 20% boys, and 45% other students. Find the number of girls.",420 + 1,-420,420,420 - 1,C,The whole students corresponds to 100%. ? 100%?1200 So the value corresponding to 1% is obtained by dividing 1200 by 100. ? 1%=(1200/100)=12 Now multiply the value of 1% by 35 to find the girls. ? 35%=12?35=420 Therefore the girls count is 420. ? girls=420,,
PCT-CP-009:PCT-QL-017:PCT-002:en:108,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.",35% + 1,-35%,35%,35% - 1,C,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 25%+20%+20%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:109,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 5000, 40% are males, 35% are females, and 25% are children. Find the number of children.",1250 - 1,1250,-1250,1250 + 1,B,The whole population corresponds to 100%. ? 100%?5000 So the value corresponding to 1% is obtained by dividing 5000 by 100. ? 1%=(5000/100)=50 Now multiply the value of 1% by the percentage for children. ? 25%=50?25=1250 Therefore the value for children is 1250. ? children=1250,,
PCT-CP-001:PCT-QL-002:PCT-002:en:110,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"25% of the monthly income is kept aside as savings. If these savings are Rs. 12000, find the total monthly income.",48000 - 1,48000,-48000,48000 + 1,B,"Here, 25% of the monthly income equals Rs. 12000. ? 25%?Rs. 12000 To determine the value of 1%, divide Rs. 12000 by 25. ? 1%=(12000/25)=480 Now multiply the value of 1% by 100 to get the whole. ? 100%=480?100=48000 Therefore the total monthly income is Rs. 48000. ? Total monthly income=48000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:111,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 25% of the students equals 80, how many students correspond to 75%?",240 - 1,240,-240,240 + 1,B,"Here, 25% of the students equals 80. ? 25%?80 First find the value corresponding to 1% by dividing 80 by 25. ? 1%=(80/25)=3.2 Now multiply the value of 1% by 75 to get 75%. ? 75%=3.2?75=240 Therefore 75% of the students is 240. ? students=240",,
PCT-CP-003:PCT-QL-006:PCT-002:en:112,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 2000 as savings out of a total income of Rs. 20000. Find the percentage of savings.,-10%,10% - 1,10%,10% + 1,C,The whole income corresponds to 100%. ? 100%?Rs. 20000 So 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now compare Rs. 2000 with the value of 1% to get the required percentage. ? Required percent=(2000/200)=10% Therefore Rs. 2000 is 10% of the income. ? savings=10%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:113,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 40% of the books equals 160, what percent of the books is 200?",-50%,50% - 1,50%,50% + 1,C,"Here, 40% of the books equals 160. ? 40%?160 To determine the value of 1%, divide 160 by 40. ? 1%=(160/40)=4 Now compare 200 with the value of 1% to find the required percentage. ? Required percent=(200/4)=50% Therefore 200 is 50% of the books. ? Required percent=50%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:114,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 4:5. Express the second part as a percentage of the whole.,55.56%,55.56% - 1,55.56% + 1,-55.56%,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=4+5=9 The second part accounts for 5 out of these 9 parts. ? Share fraction=(5/9) Convert that share into a percentage. ? Required percent=(5/9)?100=55.56% Therefore the second part corresponds to 55.56%. ? second part=55.56%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:115,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 20% of the income as savings. What percent of the income is spent on expenditure?,80% + 1,80% - 1,80%,-80%,C,The full quantity is always 100%. ? savings+expenditure=100% So subtract 20% from 100% to get the remaining percentage. ? expenditure=100%-20%=80% Therefore the expenditure percentage is 80%. ? expenditure=80%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:116,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,30% of the monthly budget goes to food expenses and 15% goes to transport expenses. Find the percentage difference.,15% + 1,15% - 1,15%,-15%,C,"Both parts are already given as percentages of the same whole. ? food expenses=30%, transport expenses=15% So subtract the smaller percentage from the larger percentage. ? Difference=30%-15%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:117,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 30000 is divided as 25% rent, 20% food, and 55% transport. Find the amount spent on rent.",7500 + 1,7500 - 1,7500,-7500,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by 25 to find the rent. ? 25%=300?25=7500 Therefore the rent count is Rs. 7500. ? rent=7500,,
PCT-CP-009:PCT-QL-018:PCT-002:en:118,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 25% goes to marketing, 25% to salaries, and 10% to rent. Find the missing percentage for other expenses.",40% + 1,40% - 1,40%,-40%,C,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 25%+25%+10%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:119,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 24000, 30% is spent on food, 20% on rent, 15% on transport, and the remaining 35% on education. Find the amount spent on education.",8400,8400 - 1,8400 + 1,-8400,A,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 24000 So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. ? 1%=(24000/100)=240 Now multiply the value of 1% by the percentage for education. ? 35%=240?35=8400 Therefore the value for education is Rs. 8400. ? education=8400,,
PCT-CP-001:PCT-QL-001:PCT-002:en:120,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"45% of the students are girls. If the number of girls is 180, find the total number of students.",400 - 1,400,-400,400 + 1,B,"Here, 45% of the students equals 180. ? 45%?180 To determine the value of 1%, divide 180 by 45. ? 1%=(180/45)=4 Now multiply the value of 1% by 100 to get the whole. ? 100%=4?100=400 Therefore the total students is 400. ? Total students=400",,
PCT-CP-002:PCT-QL-003:PCT-002:en:121,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 20% of the income equals Rs. 6000, find 50% of the same income.",-15000,15000,15000 - 1,15000 + 1,B,"Here, 20% of the income equals Rs. 6000. ? 20%?Rs. 6000 First find the value corresponding to 1% by dividing Rs. 6000 by 20. ? 1%=(6000/20)=300 Now multiply the value of 1% by 50 to get 50%. ? 50%=300?50=15000 Therefore 50% of the income is Rs. 15000. ? expenditure=15000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:122,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 240 students, 60 are girls. Find what percent of the students are girls.",-25%,25% - 1,25%,25% + 1,C,The whole students corresponds to 100%. ? 100%?240 So 1% is obtained by dividing 240 by 100. ? 1%=(240/100)=2.4 Now compare 60 with the value of 1% to get the required percentage. ? Required percent=(60/2.4)=25% Therefore 60 is 25% of the students. ? girls=25%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:123,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 25% of the salary is Rs. 1000, then Rs. 1000 is what percent of the same salary?",25% - 1,25%,-25%,25% + 1,B,"Here, 25% of the salary equals Rs. 1000. ? 25%?Rs. 1000 To determine the value of 1%, divide Rs. 1000 by 25. ? 1%=(1000/25)=40 Now compare Rs. 1000 with the value of 1% to find the required percentage. ? Required percent=(1000/40)=25% Therefore Rs. 1000 is 25% of the salary. ? Required percent=25%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:124,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 5:1. Find the percentage corresponding to the first part.,-83.33%,83.33% - 1,83.33%,83.33% + 1,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=5+1=6 The first part accounts for 5 out of these 6 parts. ? Share fraction=(5/6) Convert that share into a percentage. ? Required percent=(5/6)?100=83.33% Therefore the first part corresponds to 83.33%. ? first part=83.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:125,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 45% of the class are girls, find the percentage of boys.",55% + 1,55% - 1,55%,-55%,C,The full quantity is always 100%. ? girls+boys=100% So subtract 45% from 100% to get the remaining percentage. ? boys=100%-45%=55% Therefore the boys percentage is 55%. ? boys=55%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:126,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,50% of the students are boys and 15% are girls. Find the difference between these percentages.,35%,35% + 1,35% - 1,-35%,A,"Both parts are already given as percentages of the same whole. ? boys=50%, girls=15% So subtract the smaller percentage from the larger percentage. ? Difference=50%-15%=35% Therefore the percentage difference is 35%. ? Difference=35%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:127,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1200 students is divided as 40% girls, 35% boys, and 25% other students. Find the number of girls.",480,480 - 1,480 + 1,-480,A,The whole students corresponds to 100%. ? 100%?1200 So the value corresponding to 1% is obtained by dividing 1200 by 100. ? 1%=(1200/100)=12 Now multiply the value of 1% by 40 to find the girls. ? 40%=12?40=480 Therefore the girls count is 480. ? girls=480,,
PCT-CP-009:PCT-QL-017:PCT-002:en:128,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",35%,35% + 1,35% - 1,-35%,A,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:129,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 4000, 45% are males, 40% are females, and 15% are children. Find the number of children.",-600,600 - 1,600 + 1,600,D,The whole population corresponds to 100%. ? 100%?4000 So the value corresponding to 1% is obtained by dividing 4000 by 100. ? 1%=(4000/100)=40 Now multiply the value of 1% by the percentage for children. ? 15%=40?15=600 Therefore the value for children is 600. ? children=600,,
PCT-CP-001:PCT-QL-002:PCT-002:en:130,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"15% of the monthly income is kept aside as savings. If these savings are Rs. 3600, find the total monthly income.",-24000,24000 + 1,24000 - 1,24000,D,"Here, 15% of the monthly income equals Rs. 3600. ? 15%?Rs. 3600 To determine the value of 1%, divide Rs. 3600 by 15. ? 1%=(3600/15)=240 Now multiply the value of 1% by 100 to get the whole. ? 100%=240?100=24000 Therefore the total monthly income is Rs. 24000. ? Total monthly income=24000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:131,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 40% of the students equals 336, how many students correspond to 50%?",-420,420 + 1,420 - 1,420,D,"Here, 40% of the students equals 336. ? 40%?336 First find the value corresponding to 1% by dividing 336 by 40. ? 1%=(336/40)=8.4 Now multiply the value of 1% by 50 to get 50%. ? 50%=8.4?50=420 Therefore 50% of the students is 420. ? students=420",,
PCT-CP-003:PCT-QL-006:PCT-002:en:132,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 9600 as savings out of a total income of Rs. 48000. Find the percentage of savings.,-20%,20% - 1,20% + 1,20%,D,The whole income corresponds to 100%. ? 100%?Rs. 48000 So 1% is obtained by dividing Rs. 48000 by 100. ? 1%=(48000/100)=480 Now compare Rs. 9600 with the value of 1% to get the required percentage. ? Required percent=(9600/480)=20% Therefore Rs. 9600 is 20% of the income. ? savings=20%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:133,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 25% of the books equals 75, what percent of the books is 45?",15% + 1,15% - 1,-15%,15%,D,"Here, 25% of the books equals 75. ? 25%?75 To determine the value of 1%, divide 75 by 25. ? 1%=(75/25)=3 Now compare 45 with the value of 1% to find the required percentage. ? Required percent=(45/3)=15% Therefore 45 is 15% of the books. ? Required percent=15%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:134,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 1:2. Express the second part as a percentage of the whole.,66.67% + 1,-66.67%,66.67%,66.67% - 1,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=1+2=3 The second part accounts for 2 out of these 3 parts. ? Share fraction=(2/3) Convert that share into a percentage. ? Required percent=(2/3)?100=66.67% Therefore the second part corresponds to 66.67%. ? second part=66.67%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:135,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 10% of the income as savings. What percent of the income is spent on expenditure?,90% + 1,-90%,90%,90% - 1,C,The full quantity is always 100%. ? savings+expenditure=100% So subtract 10% from 100% to get the remaining percentage. ? expenditure=100%-10%=90% Therefore the expenditure percentage is 90%. ? expenditure=90%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:136,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,40% of the monthly budget goes to food expenses and 25% goes to transport expenses. Find the percentage difference.,15% + 1,-15%,15%,15% - 1,C,"Both parts are already given as percentages of the same whole. ? food expenses=40%, transport expenses=25% So subtract the smaller percentage from the larger percentage. ? Difference=40%-25%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:137,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 24000 is divided as 30% rent, 30% food, and 40% transport. Find the amount spent on rent.",7200 + 1,-7200,7200,7200 - 1,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 24000 So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. ? 1%=(24000/100)=240 Now multiply the value of 1% by 30 to find the rent. ? 30%=240?30=7200 Therefore the rent count is Rs. 7200. ? rent=7200,,
PCT-CP-009:PCT-QL-018:PCT-002:en:138,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 30% goes to marketing, 15% to salaries, and 15% to rent. Find the missing percentage for other expenses.",40%,-40%,40% + 1,40% - 1,A,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 30%+15%+15%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:139,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 20000, 25% is spent on food, 30% on rent, 15% on transport, and the remaining 30% on education. Find the amount spent on education.",6000 + 1,-6000,6000,6000 - 1,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 20000 So the value corresponding to 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now multiply the value of 1% by the percentage for education. ? 30%=200?30=6000 Therefore the value for education is Rs. 6000. ? education=6000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:140,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"25% of the students are girls. If the number of girls is 225, find the total number of students.",900 + 1,900 - 1,-900,900,D,"Here, 25% of the students equals 225. ? 25%?225 To determine the value of 1%, divide 225 by 25. ? 1%=(225/25)=9 Now multiply the value of 1% by 100 to get the whole. ? 100%=9?100=900 Therefore the total students is 900. ? Total students=900",,
PCT-CP-002:PCT-QL-003:PCT-002:en:141,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 30% of the income equals Rs. 6000, find 55% of the same income.",11000 + 1,11000 - 1,-11000,11000,D,"Here, 30% of the income equals Rs. 6000. ? 30%?Rs. 6000 First find the value corresponding to 1% by dividing Rs. 6000 by 30. ? 1%=(6000/30)=200 Now multiply the value of 1% by 55 to get 55%. ? 55%=200?55=11000 Therefore 55% of the income is Rs. 11000. ? expenditure=11000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:142,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 720 students, 252 are girls. Find what percent of the students are girls.",-35%,35% + 1,35% - 1,35%,D,The whole students corresponds to 100%. ? 100%?720 So 1% is obtained by dividing 720 by 100. ? 1%=(720/100)=7.2 Now compare 252 with the value of 1% to get the required percentage. ? Required percent=(252/7.2)=35% Therefore 252 is 35% of the students. ? girls=35%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:143,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 45% of the salary is Rs. 1800, then Rs. 1400 is what percent of the same salary?",35% + 1,35% - 1,-35%,35%,D,"Here, 45% of the salary equals Rs. 1800. ? 45%?Rs. 1800 To determine the value of 1%, divide Rs. 1800 by 45. ? 1%=(1800/45)=40 Now compare Rs. 1400 with the value of 1% to find the required percentage. ? Required percent=(1400/40)=35% Therefore Rs. 1400 is 35% of the salary. ? Required percent=35%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:144,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 2:3. Find the percentage corresponding to the first part.,40% + 1,40% - 1,-40%,40%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=2+3=5 The first part accounts for 2 out of these 5 parts. ? Share fraction=(2/5) Convert that share into a percentage. ? Required percent=(2/5)?100=40% Therefore the first part corresponds to 40%. ? first part=40%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:145,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 25% of the class are girls, find the percentage of boys.",75%,-75%,75% + 1,75% - 1,A,The full quantity is always 100%. ? girls+boys=100% So subtract 25% from 100% to get the remaining percentage. ? boys=100%-25%=75% Therefore the boys percentage is 75%. ? boys=75%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:146,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,40% of the students are boys and 25% are girls. Find the difference between these percentages.,15% + 1,-15%,15%,15% - 1,C,"Both parts are already given as percentages of the same whole. ? boys=40%, girls=25% So subtract the smaller percentage from the larger percentage. ? Difference=40%-25%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:147,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1000 students is divided as 25% girls, 35% boys, and 40% other students. Find the number of girls.",250 + 1,-250,250,250 - 1,C,The whole students corresponds to 100%. ? 100%?1000 So the value corresponding to 1% is obtained by dividing 1000 by 100. ? 1%=(1000/100)=10 Now multiply the value of 1% by 25 to find the girls. ? 25%=10?25=250 Therefore the girls count is 250. ? girls=250,,
PCT-CP-009:PCT-QL-017:PCT-002:en:148,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"35% is spent on food, 15% on rent, and 15% on transport. Find the remaining percentage for remaining.",35%,-35%,35% + 1,35% - 1,A,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 35%+15%+15%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:149,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 10000, 40% are males, 30% are females, and 30% are children. Find the number of children.",-3000,3000,3000 - 1,3000 + 1,B,The whole population corresponds to 100%. ? 100%?10000 So the value corresponding to 1% is obtained by dividing 10000 by 100. ? 1%=(10000/100)=100 Now multiply the value of 1% by the percentage for children. ? 30%=100?30=3000 Therefore the value for children is 3000. ? children=3000,,
PCT-CP-001:PCT-QL-002:PCT-002:en:150,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"25% of the monthly income is kept aside as savings. If these savings are Rs. 12000, find the total monthly income.",-48000,48000,48000 - 1,48000 + 1,B,"Here, 25% of the monthly income equals Rs. 12000. ? 25%?Rs. 12000 To determine the value of 1%, divide Rs. 12000 by 25. ? 1%=(12000/25)=480 Now multiply the value of 1% by 100 to get the whole. ? 100%=480?100=48000 Therefore the total monthly income is Rs. 48000. ? Total monthly income=48000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:151,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 25% of the students equals 80, how many students correspond to 75%?",-240,240,240 - 1,240 + 1,B,"Here, 25% of the students equals 80. ? 25%?80 First find the value corresponding to 1% by dividing 80 by 25. ? 1%=(80/25)=3.2 Now multiply the value of 1% by 75 to get 75%. ? 75%=3.2?75=240 Therefore 75% of the students is 240. ? students=240",,
PCT-CP-003:PCT-QL-006:PCT-002:en:152,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 12000 as savings out of a total income of Rs. 40000. Find the percentage of savings.,-30%,30% - 1,30%,30% + 1,C,The whole income corresponds to 100%. ? 100%?Rs. 40000 So 1% is obtained by dividing Rs. 40000 by 100. ? 1%=(40000/100)=400 Now compare Rs. 12000 with the value of 1% to get the required percentage. ? Required percent=(12000/400)=30% Therefore Rs. 12000 is 30% of the income. ? savings=30%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:153,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 40% of the books equals 320, what percent of the books is 160?",20% - 1,20%,-20%,20% + 1,B,"Here, 40% of the books equals 320. ? 40%?320 To determine the value of 1%, divide 320 by 40. ? 1%=(320/40)=8 Now compare 160 with the value of 1% to find the required percentage. ? Required percent=(160/8)=20% Therefore 160 is 20% of the books. ? Required percent=20%",,
