questionId,cpId,stem,answer,difficulty,questionLanguageId,explanationStyleId
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:100,CP-002,"Count the positive divisors common to 18, 30 and 42.",4,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:101,CP-002,Find the total number of common divisors of 24 and 36.,6,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:102,CP-002,"Count the positive divisors common to 420, 630 and 840.",16,Hard,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:103,CP-002,"Count the common divisors of 18, 30 and 42.",4,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:104,CP-002,"Count the common divisors of 252, 378 and 630.",12,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:105,CP-002,How many common factors do 84 and 126 have?,8,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:106,CP-002,"Count the common divisors of 18, 30 and 42.",4,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:107,CP-002,Count the common divisors of 924 and 1386.,16,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:108,CP-002,Count the common divisors of 96 and 144.,10,Medium,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:109,CP-002,"Find the total number of common divisors of 72, 108 and 180.",9,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:110,CP-002,Find the number of common factors of 96 and 144.,10,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:111,CP-002,Count the common divisors of 24 and 36.,6,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:112,CP-002,"How many positive integers divide all of 72, 108 and 180?",9,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:113,CP-002,Find the total number of common divisors of 45 and 60.,4,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:114,CP-002,Count the positive divisors common to 360 and 540.,18,Hard,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:115,CP-002,Count the positive divisors common to 48 and 72.,8,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:116,CP-002,How many positive integers divide all of 360 and 540?,18,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:117,CP-002,How many positive integers divide all of 35 and 64?,1,Easy,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:118,CP-002,How many divisors are common to all the numbers 45 and 60?,4,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:119,CP-002,Find the total number of common divisors of 24 and 36.,6,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:120,CP-002,Count the common divisors of 24 and 36.,6,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:121,CP-002,How many divisors are common to all the numbers 84 and 126?,8,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:122,CP-002,"How many positive integers divide all of 72, 108 and 180?",9,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:123,CP-002,How many common factors do 81 and 128 have?,1,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:124,CP-002,Count the common divisors of 360 and 540.,18,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:125,CP-002,How many divisors are common to all the numbers 512 and 729?,1,Hard,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:126,CP-002,How many divisors are common to all the numbers 81 and 128?,1,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:127,CP-002,"Count the positive divisors common to 125, 175 and 225.",3,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:128,CP-002,Count the common divisors of 924 and 1386.,16,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:129,CP-002,How many positive integers divide all of 48 and 72?,8,Easy,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:130,CP-002,"Find the number of common factors of 72, 108 and 180.",9,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:131,CP-002,How many positive integers divide all of 96 and 144?,10,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:132,CP-002,"Find the number of common factors of 18, 30 and 42.",4,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:133,CP-002,How many positive integers divide all of 96 and 144?,10,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:134,CP-002,"How many divisors are common to all the numbers 18, 30 and 42?",4,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:135,CP-002,Find the total number of common divisors of 81 and 128.,1,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:136,CP-002,"Find the number of common factors of 420, 630 and 840.",16,Hard,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:137,CP-002,Find the total number of common divisors of 24 and 36.,6,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:138,CP-002,"Find the number of common factors of 125, 175 and 225.",3,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:139,CP-002,Find the total number of common divisors of 35 and 64.,1,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:140,CP-002,"Find the total number of common divisors of 252, 378 and 630.",12,Hard,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:141,CP-002,"Find the total number of common divisors of 72, 108 and 180.",9,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:142,CP-002,How many common factors do 24 and 36 have?,6,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:143,CP-002,"How many positive integers divide all of 125, 175 and 225?",3,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:144,CP-002,How many common factors do 81 and 128 have?,1,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:145,CP-002,How many divisors are common to all the numbers 84 and 126?,8,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:146,CP-002,How many divisors are common to all the numbers 96 and 144?,10,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:147,CP-002,"How many positive integers divide all of 420, 630 and 840?",16,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:148,CP-002,How many divisors are common to all the numbers 96 and 144?,10,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:149,CP-002,How many common factors do 360 and 540 have?,18,Hard,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:150,CP-002,Count the common divisors of 48 and 72.,8,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:151,CP-002,How many positive integers divide all of 924 and 1386?,16,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:152,CP-002,How many positive integers divide all of 35 and 64?,1,Easy,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:153,CP-002,Count the common divisors of 35 and 64.,1,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:154,CP-002,"Count the common divisors of 18, 30 and 42.",4,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:155,CP-002,"Find the number of common factors of 420, 630 and 840.",16,Hard,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:156,CP-002,"Find the number of common factors of 125, 175 and 225.",3,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:157,CP-002,How many divisors are common to all the numbers 48 and 72?,8,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:158,CP-002,How many common factors do 81 and 128 have?,1,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:159,CP-002,Find the total number of common divisors of 45 and 60.,4,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:160,CP-002,Find the total number of common divisors of 24 and 36.,6,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:161,CP-002,How many common factors do 512 and 729 have?,1,Hard,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:162,CP-002,Find the total number of common divisors of 81 and 128.,1,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:163,CP-002,Find the total number of common divisors of 512 and 729.,1,Hard,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:164,CP-002,Count the positive divisors common to 35 and 64.,1,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:165,CP-002,How many common factors do 81 and 128 have?,1,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:166,CP-002,Find the number of common factors of 24 and 36.,6,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:167,CP-002,"Find the total number of common divisors of 125, 175 and 225.",3,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:168,CP-002,How many divisors are common to all the numbers 35 and 64?,1,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:169,CP-002,How many positive integers divide all of 81 and 128?,1,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:170,CP-002,"Count the common divisors of 125, 175 and 225.",3,Medium,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:171,CP-002,Count the common divisors of 924 and 1386.,16,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:172,CP-002,"Count the positive divisors common to 72, 108 and 180.",9,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:173,CP-002,Count the common divisors of 35 and 64.,1,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:174,CP-002,How many common factors do 84 and 126 have?,8,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:175,CP-002,Count the common divisors of 48 and 72.,8,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:176,CP-002,Count the positive divisors common to 24 and 36.,6,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:177,CP-002,"How many divisors are common to all the numbers 72, 108 and 180?",9,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:178,CP-002,Find the number of common factors of 84 and 126.,8,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:179,CP-002,"Find the total number of common divisors of 72, 108 and 180.",9,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:180,CP-002,"Find the number of common factors of 72, 108 and 180.",9,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:181,CP-002,Find the total number of common divisors of 96 and 144.,10,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:182,CP-002,Count the positive divisors common to 924 and 1386.,16,Hard,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:183,CP-002,"Find the total number of common divisors of 72, 108 and 180.",9,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:184,CP-002,"Count the positive divisors common to 125, 175 and 225.",3,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:185,CP-002,How many divisors are common to all the numbers 81 and 128?,1,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:186,CP-002,Count the positive divisors common to 48 and 72.,8,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:187,CP-002,"Find the total number of common divisors of 420, 630 and 840.",16,Hard,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:188,CP-002,How many divisors are common to all the numbers 24 and 36?,6,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:189,CP-002,How many divisors are common to all the numbers 84 and 126?,8,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:190,CP-002,Count the positive divisors common to 24 and 36.,6,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:191,CP-002,"How many positive integers divide all of 252, 378 and 630?",12,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:192,CP-002,Find the number of common factors of 24 and 36.,6,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:193,CP-002,How many common factors do 81 and 128 have?,1,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:194,CP-002,"How many common factors do 252, 378 and 630 have?",12,Hard,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:195,CP-002,"How many positive integers divide all of 72, 108 and 180?",9,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:196,CP-002,How many positive integers divide all of 96 and 144?,10,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:197,CP-002,Find the number of common factors of 96 and 144.,10,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:198,CP-002,"How many common factors do 18, 30 and 42 have?",4,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:199,CP-002,"How many positive integers divide all of 125, 175 and 225?",3,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:200,CP-002,Find the number of common factors of 35 and 64.,1,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:201,CP-002,"Find the total number of common divisors of 18, 30 and 42.",4,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:202,CP-002,"Find the number of common factors of 18, 30 and 42.",4,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:203,CP-002,"Count the positive divisors common to 252, 378 and 630.",12,Hard,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:204,CP-002,Count the common divisors of 24 and 36.,6,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:205,CP-002,Find the total number of common divisors of 81 and 128.,1,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:206,CP-002,Find the number of common factors of 512 and 729.,1,Hard,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:207,CP-002,How many positive integers divide all of 96 and 144?,10,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:208,CP-002,Count the positive divisors common to 512 and 729.,1,Hard,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:209,CP-002,Find the total number of common divisors of 84 and 126.,8,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:210,CP-002,How many divisors are common to all the numbers 512 and 729?,1,Hard,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:211,CP-002,How many common factors do 45 and 60 have?,4,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:212,CP-002,"Find the total number of common divisors of 72, 108 and 180.",9,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:213,CP-002,"How many positive integers divide all of 420, 630 and 840?",16,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:214,CP-002,"Find the total number of common divisors of 125, 175 and 225.",3,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:215,CP-002,Find the total number of common divisors of 48 and 72.,8,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:216,CP-002,"Find the number of common factors of 72, 108 and 180.",9,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:217,CP-002,"Find the total number of common divisors of 125, 175 and 225.",3,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:218,CP-002,Find the total number of common divisors of 35 and 64.,1,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:219,CP-002,How many positive integers divide all of 35 and 64?,1,Easy,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:220,CP-002,Find the number of common factors of 81 and 128.,1,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:221,CP-002,Find the number of common factors of 81 and 128.,1,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:222,CP-002,Find the total number of common divisors of 96 and 144.,10,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:223,CP-002,How many common factors do 35 and 64 have?,1,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:224,CP-002,Find the number of common factors of 24 and 36.,6,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:225,CP-002,Count the positive divisors common to 81 and 128.,1,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:226,CP-002,Find the total number of common divisors of 512 and 729.,1,Hard,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:227,CP-002,Find the number of common factors of 81 and 128.,1,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:228,CP-002,How many common factors do 45 and 60 have?,4,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:229,CP-002,Count the positive divisors common to 24 and 36.,6,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:230,CP-002,"Find the number of common factors of 252, 378 and 630.",12,Hard,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:231,CP-002,Count the common divisors of 24 and 36.,6,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:232,CP-002,Find the number of common factors of 24 and 36.,6,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:233,CP-002,"How many positive integers divide all of 72, 108 and 180?",9,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:234,CP-002,How many common factors do 512 and 729 have?,1,Hard,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:235,CP-002,Count the common divisors of 48 and 72.,8,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:236,CP-002,Find the number of common factors of 81 and 128.,1,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:237,CP-002,How many positive integers divide all of 96 and 144?,10,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:238,CP-002,Find the total number of common divisors of 84 and 126.,8,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:239,CP-002,Find the number of common factors of 45 and 60.,4,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:240,CP-002,How many common factors do 360 and 540 have?,18,Hard,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:241,CP-002,"Count the positive divisors common to 72, 108 and 180.",9,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:242,CP-002,Find the number of common factors of 24 and 36.,6,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:243,CP-002,Count the common divisors of 96 and 144.,10,Medium,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:244,CP-002,How many common factors do 48 and 72 have?,8,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:245,CP-002,"Find the total number of common divisors of 125, 175 and 225.",3,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:246,CP-002,Find the number of common factors of 81 and 128.,1,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:247,CP-002,Count the common divisors of 45 and 60.,4,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:248,CP-002,Count the common divisors of 84 and 126.,8,Medium,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:249,CP-002,"Find the number of common factors of 72, 108 and 180.",9,Medium,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:250,CP-002,How many common factors do 48 and 72 have?,8,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:251,CP-002,How many divisors are common to all the numbers 45 and 60?,4,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:252,CP-002,"How many divisors are common to all the numbers 18, 30 and 42?",4,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:253,CP-002,"How many positive integers divide all of 72, 108 and 180?",9,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:254,CP-002,Find the total number of common divisors of 81 and 128.,1,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:255,CP-002,Find the total number of common divisors of 24 and 36.,6,Easy,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:256,CP-002,How many common factors do 81 and 128 have?,1,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:257,CP-002,How many positive integers divide all of 35 and 64?,1,Easy,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:258,CP-002,"Find the total number of common divisors of 125, 175 and 225.",3,Medium,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:259,CP-002,"Count the positive divisors common to 252, 378 and 630.",12,Hard,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:260,CP-002,How many common factors do 48 and 72 have?,8,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:261,CP-002,Find the total number of common divisors of 512 and 729.,1,Hard,QL-013,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:262,CP-002,Find the number of common factors of 35 and 64.,1,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:263,CP-002,"Count the common divisors of 125, 175 and 225.",3,Medium,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:264,CP-002,"Count the positive divisors common to 72, 108 and 180.",9,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:265,CP-002,"How many common factors do 72, 108 and 180 have?",9,Medium,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:266,CP-002,"Find the number of common factors of 252, 378 and 630.",12,Hard,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:267,CP-002,Count the common divisors of 48 and 72.,8,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:268,CP-002,How many common factors do 924 and 1386 have?,16,Hard,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:269,CP-002,"Count the common divisors of 18, 30 and 42.",4,Easy,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:270,CP-002,"Find the number of common factors of 18, 30 and 42.",4,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:271,CP-002,"How many positive integers divide all of 252, 378 and 630?",12,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:272,CP-002,How many divisors are common to all the numbers 45 and 60?,4,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:273,CP-002,How many common factors do 45 and 60 have?,4,Easy,QL-009,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:274,CP-002,"Count the positive divisors common to 125, 175 and 225.",3,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:275,CP-002,How many positive integers divide all of 84 and 126?,8,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:276,CP-002,"How many divisors are common to all the numbers 252, 378 and 630?",12,Hard,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:277,CP-002,Count the common divisors of 924 and 1386.,16,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:278,CP-002,How many divisors are common to all the numbers 81 and 128?,1,Medium,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:279,CP-002,How many divisors are common to all the numbers 35 and 64?,1,Easy,QL-014,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:280,CP-002,Count the positive divisors common to 24 and 36.,6,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:281,CP-002,Count the positive divisors common to 96 and 144.,10,Medium,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:282,CP-002,How many positive integers divide all of 84 and 126?,8,Medium,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:283,CP-002,How many positive integers divide all of 360 and 540?,18,Hard,QL-012,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:284,CP-002,"Find the number of common factors of 18, 30 and 42.",4,Easy,QL-011,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:285,CP-002,Count the common divisors of 924 and 1386.,16,Hard,QL-010,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:286,CP-002,Count the positive divisors common to 24 and 36.,6,Easy,QL-015,ES-002
NS-HCF-001:CP-002:ns-hcf-001-human-review:CP-002:287,CP-002,"Find the total number of common divisors of 125, 175 and 225.",3,Medium,QL-013,ES-002
