CP,difficulty,QL ID,ES ID,parameters,answer,reasoning trace
"CP01","Easy","QL-010","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:349"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-010"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-011","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:350"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-011"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-012","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:351"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-012"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-013","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:352"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-013"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-014","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:353"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-014"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-015","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:354"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-015"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-016","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:355"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-016"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-017","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:356"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-017"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-018","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:357"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-018"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-019","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:358"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-019"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-020","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:359"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-020"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-001","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:360"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-001"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-002","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:361"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-002"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-003","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:362"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-003"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-004","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:363"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-004"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-005","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:364"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-005"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-006","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:365"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-006"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-007","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:366"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-007"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-008","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:367"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-008"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-009","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:368"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-009"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-010","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:369"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-010"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-011","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:370"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-011"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-012","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:371"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-012"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-013","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:372"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-013"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-014","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:373"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-014"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-015","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:374"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-015"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-016","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:375"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-016"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-017","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:376"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-017"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-018","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:377"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-018"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-019","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:378"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-019"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-020","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:379"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-020"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-001","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:380"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-001"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-002","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:381"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-002"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-003","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:382"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-003"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-004","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:383"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-004"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-005","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:384"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-005"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-006","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:385"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-006"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-007","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:386"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-007"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-008","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:387"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-008"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-009","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:388"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-009"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-010","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:389"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-010"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-011","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:390"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-011"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-012","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:391"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-012"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-013","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:392"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-013"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-014","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:393"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-014"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-015","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:394"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-015"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-016","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:395"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-016"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-017","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:396"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-017"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-018","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:397"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-018"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
