"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Number","Lower Bound","Upper Bound","Range Width","Position"
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:437","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 36 is prime or composite.","Composite","Check the factors of the given number.

Since 36 has more than two factors, it is a composite number.

Answer: Composite","36","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:438","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 283 is a prime number.","Prime","Check the factors of the given number.

Since 283 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","283","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:439","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 98 is prime or composite.","Composite","Check the factors of the given number.

Since 98 has more than two factors, it is a composite number.

Answer: Composite","98","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:440","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 410 is prime or composite.","Composite","Check the factors of the given number.

Since 410 has more than two factors, it is a composite number.

Answer: Composite","410","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:441","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 859 a prime number?","Prime","Check the factors of the given number.

Since 859 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","859","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:442","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 34 is prime or composite.","Composite","Check the factors of the given number.

Since 34 has more than two factors, it is a composite number.

Answer: Composite","34","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:443","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 631 is a prime number.","Prime","Check the factors of the given number.

Since 631 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","631","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:444","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 12 a prime number?","Composite","Check the factors of the given number.

Since 12 has more than two factors, it is a composite number.

Answer: Composite","12","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:445","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 613 is a prime number.","Prime","Check the factors of the given number.

Since 613 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","613","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:446","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 34 a prime number?","Composite","Check the factors of the given number.

Since 34 has more than two factors, it is a composite number.

Answer: Composite","34","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:447","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 281 is prime or composite.","Prime","Check the factors of the given number.

Since 281 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","281","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:448","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 76 is prime or composite.","Composite","Check the factors of the given number.

Since 76 has more than two factors, it is a composite number.

Answer: Composite","76","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:449","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 3257 is a prime number.","Prime","Check the factors of the given number.

Since 3257 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","3257","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:450","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 491 a prime number?","Prime","Check the factors of the given number.

Since 491 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","491","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:451","CP-001","Hard","Prime Classification","QL-001","ES-002","Is 4885 a prime number?","Composite","Check the factors of the given number.

Since 4885 has more than two factors, it is a composite number.

Answer: Composite","4885","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:452","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 853 is prime or composite.","Prime","Check the factors of the given number.

Since 853 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","853","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:453","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 909 is a prime number.","Composite","Check the factors of the given number.

Since 909 has more than two factors, it is a composite number.

Answer: Composite","909","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:454","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 53 is a prime number.","Prime","Check the factors of the given number.

Since 53 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","53","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:455","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 32 a prime number?","Composite","Check the factors of the given number.

Since 32 has more than two factors, it is a composite number.

Answer: Composite","32","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:456","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 887 is a prime number.","Prime","Check the factors of the given number.

Since 887 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","887","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:457","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 576 is prime or composite.","Composite","Check the factors of the given number.

Since 576 has more than two factors, it is a composite number.

Answer: Composite","576","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:458","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 241 is a prime number.","Prime","Check the factors of the given number.

Since 241 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","241","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:459","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 95 is a prime number.","Composite","Check the factors of the given number.

Since 95 has more than two factors, it is a composite number.

Answer: Composite","95","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:460","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 42 is prime or composite.","Composite","Check the factors of the given number.

Since 42 has more than two factors, it is a composite number.

Answer: Composite","42","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:461","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 991 is a prime number.","Prime","Check the factors of the given number.

Since 991 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","991","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:462","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 18 a prime number?","Composite","Check the factors of the given number.

Since 18 has more than two factors, it is a composite number.

Answer: Composite","18","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:463","CP-001","Hard","Prime Classification","QL-001","ES-001","Is 4817 a prime number?","Prime","Check the factors of the given number.

Since 4817 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","4817","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:464","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 492 is prime or composite.","Composite","Check the factors of the given number.

Since 492 has more than two factors, it is a composite number.

Answer: Composite","492","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:465","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 41 a prime number?","Prime","Check the factors of the given number.

Since 41 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","41","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:466","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 76 is a prime number.","Composite","Check the factors of the given number.

Since 76 has more than two factors, it is a composite number.

Answer: Composite","76","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:467","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 43 a prime number?","Prime","Check the factors of the given number.

Since 43 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","43","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:468","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 52 is prime or composite.","Composite","Check the factors of the given number.

Since 52 has more than two factors, it is a composite number.

Answer: Composite","52","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:469","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 1373 is a prime number.","Prime","Check the factors of the given number.

Since 1373 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1373","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:470","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 1303 is a prime number.","Prime","Check the factors of the given number.

Since 1303 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1303","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:471","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 995 is a prime number.","Composite","Check the factors of the given number.

Since 995 has more than two factors, it is a composite number.

Answer: Composite","995","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:472","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 109 a prime number?","Prime","Check the factors of the given number.

Since 109 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","109","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:473","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 889 is a prime number.","Composite","Check the factors of the given number.

Since 889 has more than two factors, it is a composite number.

Answer: Composite","889","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:474","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 4999 is a prime number.","Prime","Check the factors of the given number.

Since 4999 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","4999","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:475","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 962 is prime or composite.","Composite","Check the factors of the given number.

Since 962 has more than two factors, it is a composite number.

Answer: Composite","962","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:476","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 293 is prime or composite.","Prime","Check the factors of the given number.

Since 293 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","293","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:477","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 34 is prime or composite.","Composite","Check the factors of the given number.

Since 34 has more than two factors, it is a composite number.

Answer: Composite","34","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:478","CP-001","Hard","Prime Classification","QL-002","ES-001","Determine whether 1873 is prime or composite.","Prime","Check the factors of the given number.

Since 1873 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1873","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:479","CP-001","Hard","Prime Classification","QL-003","ES-002","Check if 3786 is a prime number.","Composite","Check the factors of the given number.

Since 3786 has more than two factors, it is a composite number.

Answer: Composite","3786","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:480","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 32 is a prime number.","Composite","Check the factors of the given number.

Since 32 has more than two factors, it is a composite number.

Answer: Composite","32","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:481","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 191 a prime number?","Prime","Check the factors of the given number.

Since 191 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","191","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:482","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 55 is a prime number.","Composite","Check the factors of the given number.

Since 55 has more than two factors, it is a composite number.

Answer: Composite","55","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:483","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 433 is prime or composite.","Prime","Check the factors of the given number.

Since 433 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","433","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:484","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 455 a prime number?","Composite","Check the factors of the given number.

Since 455 has more than two factors, it is a composite number.

Answer: Composite","455","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:485","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 2423 is a prime number.","Prime","Check the factors of the given number.

Since 2423 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","2423","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:486","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 81 is a prime number.","Composite","Check the factors of the given number.

Since 81 has more than two factors, it is a composite number.

Answer: Composite","81","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:487","CP-001","Hard","Prime Classification","QL-001","ES-001","Is 1931 a prime number?","Prime","Check the factors of the given number.

Since 1931 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1931","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:488","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 969 a prime number?","Composite","Check the factors of the given number.

Since 969 has more than two factors, it is a composite number.

Answer: Composite","969","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:489","CP-001","Hard","Prime Classification","QL-002","ES-001","Determine whether 4297 is prime or composite.","Prime","Check the factors of the given number.

Since 4297 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","4297","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:490","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 23 a prime number?","Prime","Check the factors of the given number.

Since 23 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","23","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:491","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 247 is prime or composite.","Composite","Check the factors of the given number.

Since 247 has more than two factors, it is a composite number.

Answer: Composite","247","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:492","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 443 a prime number?","Prime","Check the factors of the given number.

Since 443 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","443","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:493","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 299 is a prime number.","Composite","Check the factors of the given number.

Since 299 has more than two factors, it is a composite number.

Answer: Composite","299","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:494","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 907 is prime or composite.","Prime","Check the factors of the given number.

Since 907 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","907","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:495","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 70 is prime or composite.","Composite","Check the factors of the given number.

Since 70 has more than two factors, it is a composite number.

Answer: Composite","70","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:496","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 191 is prime or composite.","Prime","Check the factors of the given number.

Since 191 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","191","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:497","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 960 a prime number?","Composite","Check the factors of the given number.

Since 960 has more than two factors, it is a composite number.

Answer: Composite","960","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:498","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 433 is a prime number.","Prime","Check the factors of the given number.

Since 433 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","433","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:499","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 36 is a prime number.","Composite","Check the factors of the given number.

Since 36 has more than two factors, it is a composite number.

Answer: Composite","36","","","",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:0","CP-002","Easy","Range Counting","QL-005","ES-003","Count the prime numbers from 2 to 13.","6","List all prime numbers in the given range.

Count them.

Answer: 6","","2","13","11",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:1","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 919 to 1079.","24","List all prime numbers in the given range.

Count them.

Answer: 24","","919","1079","160",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:2","CP-002","Hard","Range Counting","QL-006","ES-003","Find the number of primes between 1943 and 2558.","80","List all prime numbers in the given range.

Count them.

Answer: 80","","1943","2558","615",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:3","CP-002","Easy","Range Counting","QL-006","ES-003","Find the number of primes between 47 and 59.","3","List all prime numbers in the given range.

Count them.

Answer: 3","","47","59","12",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:4","CP-002","Medium","Range Counting","QL-004","ES-003","How many prime numbers are there between 823 and 1042?","33","List all prime numbers in the given range.

Count them.

Answer: 33","","823","1042","219",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:5","CP-002","Easy","Range Counting","QL-004","ES-003","How many prime numbers are there between 83 and 93?","2","List all prime numbers in the given range.

Count them.

Answer: 2","","83","93","10",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:6","CP-002","Medium","Range Counting","QL-004","ES-003","How many prime numbers are there between 732 and 963?","33","List all prime numbers in the given range.

Count them.

Answer: 33","","732","963","231",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:7","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 557 to 723.","27","List all prime numbers in the given range.

Count them.

Answer: 27","","557","723","166",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:8","CP-002","Hard","Range Counting","QL-005","ES-003","Count the prime numbers from 1721 to 2309.","76","List all prime numbers in the given range.

Count them.

Answer: 76","","1721","2309","588",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:9","CP-002","Easy","Range Counting","QL-006","ES-003","Find the number of primes between 19 and 47.","8","List all prime numbers in the given range.

Count them.

Answer: 8","","19","47","28",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:10","CP-002","Medium","Range Counting","QL-006","ES-003","Find the number of primes between 621 and 867.","36","List all prime numbers in the given range.

Count them.

Answer: 36","","621","867","246",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:11","CP-002","Easy","Range Counting","QL-005","ES-003","Count the prime numbers from 47 to 78.","7","List all prime numbers in the given range.

Count them.

Answer: 7","","47","78","31",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:12","CP-002","Medium","Range Counting","QL-006","ES-003","Find the number of primes between 919 and 1097.","28","List all prime numbers in the given range.

Count them.

Answer: 28","","919","1097","178",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:13","CP-002","Easy","Range Counting","QL-005","ES-003","Count the prime numbers from 90 to 113.","6","List all prime numbers in the given range.

Count them.

Answer: 6","","90","113","23",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:14","CP-002","Easy","Range Counting","QL-005","ES-003","Count the prime numbers from 29 to 57.","7","List all prime numbers in the given range.

Count them.

Answer: 7","","29","57","28",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:15","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 921 to 1032.","16","List all prime numbers in the given range.

Count them.

Answer: 16","","921","1032","111",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:16","CP-002","Medium","Range Counting","QL-006","ES-003","Find the number of primes between 588 and 772.","29","List all prime numbers in the given range.

Count them.

Answer: 29","","588","772","184",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:17","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 441 to 536.","14","List all prime numbers in the given range.

Count them.

Answer: 14","","441","536","95",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:18","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 447 to 607.","25","List all prime numbers in the given range.

Count them.

Answer: 25","","447","607","160",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:19","CP-002","Hard","Range Counting","QL-004","ES-003","How many prime numbers are there between 2832 and 3347?","62","List all prime numbers in the given range.

Count them.

Answer: 62","","2832","3347","515",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:20","CP-002","Hard","Range Counting","QL-005","ES-003","Count the prime numbers from 1019 to 1973.","128","List all prime numbers in the given range.

Count them.

Answer: 128","","1019","1973","954",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:21","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 168 to 214.","8","List all prime numbers in the given range.

Count them.

Answer: 8","","168","214","46",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:22","CP-002","Easy","Range Counting","QL-005","ES-003","Count the prime numbers from 58 to 103.","11","List all prime numbers in the given range.

Count them.

Answer: 11","","58","103","45",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:23","CP-002","Easy","Range Counting","QL-006","ES-003","Find the number of primes between 39 and 51.","3","List all prime numbers in the given range.

Count them.

Answer: 3","","39","51","12",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:24","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 342 to 579.","38","List all prime numbers in the given range.

Count them.

Answer: 38","","342","579","237",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:25","CP-002","Hard","Range Counting","QL-004","ES-003","How many prime numbers are there between 4375 and 5299?","105","List all prime numbers in the given range.

Count them.

Answer: 105","","4375","5299","924",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:26","CP-002","Easy","Range Counting","QL-004","ES-003","How many prime numbers are there between 24 and 41?","4","List all prime numbers in the given range.

Count them.

Answer: 4","","24","41","17",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:27","CP-002","Easy","Range Counting","QL-006","ES-003","Find the number of primes between 10 and 48.","11","List all prime numbers in the given range.

Count them.

Answer: 11","","10","48","38",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:28","CP-002","Easy","Range Counting","QL-004","ES-003","How many prime numbers are there between 46 and 85?","9","List all prime numbers in the given range.

Count them.

Answer: 9","","46","85","39",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:29","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 255 to 427.","28","List all prime numbers in the given range.

Count them.

Answer: 28","","255","427","172",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:30","CP-002","Easy","Range Counting","QL-004","ES-003","How many prime numbers are there between 69 and 113?","11","List all prime numbers in the given range.

Count them.

Answer: 11","","69","113","44",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:31","CP-002","Medium","Range Counting","QL-006","ES-003","Find the number of primes between 464 and 671.","31","List all prime numbers in the given range.

Count them.

Answer: 31","","464","671","207",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:32","CP-002","Medium","Range Counting","QL-005","ES-003","Count the prime numbers from 872 to 934.","8","List all prime numbers in the given range.

Count them.

Answer: 8","","872","934","62",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:33","CP-002","Easy","Range Counting","QL-004","ES-003","How many prime numbers are there between 19 and 36?","4","List all prime numbers in the given range.

Count them.

Answer: 4","","19","36","17",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:34","CP-002","Medium","Range Counting","QL-004","ES-003","How many prime numbers are there between 664 and 712?","6","List all prime numbers in the given range.

Count them.

Answer: 6","","664","712","48",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:35","CP-002","Easy","Range Counting","QL-006","ES-003","Find the number of primes between 55 and 78.","5","List all prime numbers in the given range.

Count them.

Answer: 5","","55","78","23",""
"NS-PRM-001:CP-002:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-002:36","CP-002","Medium","Range Counting","QL-006","ES-003","Find the number of primes between 642 and 738.","14","List all prime numbers in the given range.

Count them.

Answer: 14","","642","738","96",""
