"questionId","qlId","difficulty","context","questionText","answer","approval","reviewerNotes","status"
"CSV-001-0186","PCT-QL-017","Medium","area","If 37.5% of the area equals 3,750 sq m, find 12.5% of the same area.","1,250 sq m","","","PENDING_REVIEW"
"CSV-001-0187","PCT-QL-117","Medium","weight","We know that 12.5% of the weight equals 25 kg. What is 37.5% of the same weight?","75 kg","","","PENDING_REVIEW"
"CSV-001-0188","PCT-QL-217","Medium","volume","The value corresponding to 15% of the volume is 75 litres. Find 45% of the same volume.","225 litres","","","PENDING_REVIEW"
"CSV-001-0189","PCT-QL-317","Medium","production","The question states that 15% of the production equals 150 units. Determine 45% of the same production.","450 units","","","PENDING_REVIEW"
"CSV-001-0190","PCT-QL-417","Medium","population","Given that 45% of the population is 900 people, what is 15% of the same population?","300 people","","","PENDING_REVIEW"
"CSV-001-0191","PCT-QL-017","Hard","marks","If 100% of the marks equals 1,250 marks, find 1% of the same marks.","12.5 marks","","","PENDING_REVIEW"
"CSV-001-0192","PCT-QL-117","Hard","number","We know that 100% of a number equals 2,550. What is 1% of that number?","25.5","","","PENDING_REVIEW"
"CSV-001-0193","PCT-QL-217","Hard","monthly salary","The value corresponding to 100% of the monthly salary is ₹1,00,000. Find 100% of the same monthly salary.","₹1,00,000","","","PENDING_REVIEW"
"CSV-001-0194","PCT-QL-317","Hard","annual income","The question states that 100% of the annual income equals ₹2,50,000. Determine 100% of the same annual income.","₹2,50,000","","","PENDING_REVIEW"
"CSV-001-0195","PCT-QL-417","Hard","annual profit","Given that 100% of the annual profit is ₹1,50,000, what is 100% of the same annual profit?","₹1,50,000","","","PENDING_REVIEW"
"CSV-001-0196","PCT-QL-017","Easy","expenses","If 25% of the expenses equals ₹12,500, find 50% of the same expenses.","₹25,000","","","PENDING_REVIEW"
"CSV-001-0197","PCT-QL-117","Easy","bonus","We know that 25% of the bonus equals ₹25,000. What is 50% of the same bonus?","₹50,000","","","PENDING_REVIEW"
"CSV-001-0198","PCT-QL-217","Easy","commission","The value corresponding to 25% of the commission is ₹37,500. Find 50% of the same commission.","₹75,000","","","PENDING_REVIEW"
"CSV-001-0199","PCT-QL-317","Easy","savings","The question states that 60% of the savings equals ₹30,000. Determine 40% of the same savings.","₹20,000","","","PENDING_REVIEW"
"CSV-001-0200","PCT-QL-417","Easy","revenue","Given that 60% of the revenue is ₹60,000, what is 40% of the same revenue?","₹40,000","","","PENDING_REVIEW"
